IDCliente,Cancelacion,Genero,MayorDeEdad,Pareja,Dependientes,MesesContratado,ServicioTelefonico,MultiplesLineas,ServicioInternet,SeguridadEnLinea,CopiaSeguridadEnLinea,ProteccionDispositivo,SoporteTecnico,TransmisionTelevision,TransmisionPeliculas,TipoContrato,FacturacionElectronica,MetodosPago,CargoMensual,CargoTotal,CostoDiario
0031-PVLZI,True,Mujer,0,True,True,4,True,False,No,False,False,False,False,False,False,Mes a mes,False,Cheque C.,20.35,76.35,0.6783333333333333
0032-PGELS,True,Mujer,0,True,True,1,False,False,DSL,True,False,False,False,False,False,Mes a mes,False,Transferencia,30.5,30.5,1.0166666666666666
0036-IHMOT,False,Mujer,0,True,True,55,True,False,Fiber optic,False,True,True,True,True,True,Un año,True,Transferencia,103.7,5656.75,3.4566666666666666
0040-HALCW,False,Hombre,0,True,True,54,True,False,No,False,False,False,False,False,False,Dos años,False,Tarjeta C.,20.4,1090.6,0.6799999999999999
0042-JVWOJ,False,Hombre,0,False,False,26,True,False,No,False,False,False,False,False,False,Un año,True,Transferencia,19.6,471.85,0.6533333333333334
0042-RLHYP,False,Mujer,0,True,True,69,True,False,No,False,False,False,False,False,False,Dos años,False,Transferencia,19.7,1396.9,0.6566666666666666
0048-LUMLS,False,Hombre,0,True,True,37,True,False,Fiber optic,False,False,False,False,True,True,Un año,False,Tarjeta C.,91.2,3247.55,3.04
0048-PIHNL,False,Mujer,0,True,False,49,True,False,No,False,False,False,False,False,False,Un año,False,Transferencia,20.45,900.9,0.6816666666666666
0052-DCKON,False,Hombre,0,True,False,66,True,True,Fiber optic,True,True,True,True,True,True,Un año,False,Transferencia,115.8,7942.15,3.86
0052-YNYOT,False,Mujer,0,False,False,67,True,False,No,False,False,False,False,False,False,Un año,False,Cheque E.,20.55,1343.4,0.685
0056-EPFBG,False,Hombre,0,True,True,20,False,False,DSL,True,False,True,True,False,False,Dos años,True,Tarjeta C.,39.4,825.4,1.3133333333333332
0057-QBUQH,False,Mujer,0,False,True,43,True,True,No,False,False,False,False,False,False,Dos años,True,Cheque E.,25.1,1070.15,0.8366666666666667
0058-EVZWM,False,Mujer,0,True,False,55,True,True,Fiber optic,True,False,False,False,True,False,Mes a mes,True,Transferencia,89.8,4959.6,2.993333333333333
0060-FUALY,False,Mujer,0,True,False,59,True,True,Fiber optic,True,True,False,False,True,False,Mes a mes,True,Cheque E.,94.75,5597.65,3.158333333333333
0064-SUDOG,False,Mujer,0,True,True,12,True,False,No,False,False,False,False,False,False,Dos años,False,Transferencia,20.3,224.5,0.6766666666666666
0064-YIJGF,False,Hombre,0,True,True,27,True,True,Fiber optic,False,False,False,False,False,False,Mes a mes,True,Transferencia,75.75,1929.0,2.525
0067-DKWBL,True,Hombre,1,False,False,2,True,False,DSL,True,False,False,False,False,False,Mes a mes,True,Cheque E.,49.25,91.1,1.6416666666666666
0068-FIGTF,False,Mujer,0,False,False,27,True,False,DSL,False,True,True,True,True,True,Un año,False,Cheque C.,78.2,2078.95,2.606666666666667
0071-NDAFP,False,Hombre,0,True,True,25,True,True,No,False,False,False,False,False,False,Dos años,False,Tarjeta C.,25.5,630.6,0.85
0074-HDKDG,False,Hombre,0,True,True,25,True,False,DSL,True,True,True,False,False,False,Un año,True,Transferencia,61.6,1611.0,2.0533333333333332
0076-LVEPS,False,Hombre,0,False,True,29,False,False,DSL,True,True,True,True,False,False,Mes a mes,True,Cheque C.,45.0,1242.45,1.5
0078-XZMHT,False,Hombre,0,True,False,72,True,True,DSL,False,True,True,True,True,True,Dos años,True,Transferencia,85.15,6316.2,2.8383333333333334
0080-EMYVY,False,Mujer,0,False,False,14,True,False,DSL,False,True,False,False,False,False,Un año,False,Tarjeta C.,51.45,727.85,1.715
0080-OROZO,False,Mujer,0,False,False,35,True,False,Fiber optic,False,False,True,True,True,True,Un año,True,Cheque E.,99.25,3532.0,3.308333333333333
0082-LDZUE,False,Hombre,0,False,False,1,True,False,DSL,False,False,False,False,False,False,Mes a mes,True,Cheque C.,44.3,44.3,1.4766666666666666
0082-OQIQY,False,Hombre,0,False,False,29,True,False,Fiber optic,False,False,False,True,True,True,Mes a mes,True,Cheque E.,94.2,2607.6,3.14
0083-PIVIK,False,Hombre,0,False,False,64,True,True,DSL,True,True,True,True,True,False,Un año,False,Cheque E.,81.25,5567.55,2.7083333333333335
0089-IIQKO,False,Mujer,0,True,True,39,True,True,Fiber optic,False,False,False,True,True,True,Mes a mes,True,Tarjeta C.,99.95,3767.4,3.3316666666666666
0093-EXYQL,False,Mujer,1,False,False,40,True,False,Fiber optic,False,False,False,False,True,True,Mes a mes,True,Cheque E.,91.55,3673.6,3.0516666666666667
0093-XWZFY,True,Hombre,0,False,False,40,True,True,Fiber optic,False,True,True,False,True,True,Mes a mes,True,Tarjeta C.,104.5,4036.85,3.4833333333333334
0094-OIFMO,True,Mujer,1,False,False,11,True,False,Fiber optic,False,True,False,False,True,True,Mes a mes,True,Cheque E.,95.0,1120.3,3.1666666666666665
0096-BXERS,False,Mujer,0,True,False,6,True,True,DSL,False,False,False,False,False,False,Mes a mes,False,Cheque E.,50.35,314.55,1.6783333333333335
0096-FCPUF,False,Hombre,0,False,False,30,True,True,DSL,True,False,False,False,False,True,Mes a mes,True,Cheque C.,64.5,1888.45,2.15
0098-BOWSO,False,Hombre,0,False,False,27,True,False,No,False,False,False,False,False,False,Mes a mes,True,Cheque E.,19.4,529.8,0.6466666666666666
0100-DUVFC,False,Hombre,1,True,False,70,True,True,Fiber optic,False,True,True,False,True,True,Un año,True,Cheque E.,104.8,7308.95,3.493333333333333
0103-CSITQ,False,Mujer,0,True,False,57,True,True,Fiber optic,False,True,True,True,True,True,Un año,True,Transferencia,109.4,6252.7,3.646666666666667
0104-PPXDV,False,Hombre,0,True,False,58,True,False,DSL,False,False,True,False,False,False,Un año,False,Tarjeta C.,50.3,2878.55,1.6766666666666665
0106-GHRQR,False,Hombre,0,False,False,16,True,True,DSL,False,True,True,False,False,True,Mes a mes,True,Transferencia,71.4,1212.1,2.3800000000000003
0106-UGRDO,False,Mujer,0,True,False,69,True,True,Fiber optic,True,True,True,True,True,True,Dos años,True,Cheque E.,116.0,8182.85,3.8666666666666667
0107-WESLM,True,Hombre,0,False,False,1,True,False,No,False,False,False,False,False,False,Mes a mes,True,Cheque E.,19.85,19.85,0.6616666666666667
0107-YHINA,True,Hombre,0,False,True,1,True,True,Fiber optic,False,False,True,False,True,True,Mes a mes,True,Cheque E.,99.75,99.75,3.325
0111-KLBQG,False,Hombre,1,True,True,32,True,False,Fiber optic,False,True,False,False,True,True,Mes a mes,True,Cheque C.,93.95,2861.45,3.131666666666667
0112-QAWRZ,False,Hombre,0,True,True,16,True,True,Fiber optic,False,False,True,False,True,False,Mes a mes,True,Transferencia,90.8,1442.2,3.0266666666666664
0112-QWPNC,True,Hombre,0,True,False,49,True,True,DSL,True,False,True,True,True,True,Un año,False,Cheque E.,84.35,4059.35,2.8116666666666665
0114-IGABW,False,Mujer,0,True,False,71,False,False,DSL,False,True,True,True,True,True,Dos años,False,Transferencia,58.25,4145.9,1.9416666666666667
0114-PEGZZ,False,Mujer,0,False,False,33,True,True,Fiber optic,False,True,True,False,True,True,Mes a mes,False,Cheque E.,107.55,3645.5,3.585
0114-RSRRW,False,Mujer,0,True,False,10,True,False,No,False,False,False,False,False,False,Mes a mes,True,Transferencia,19.95,187.75,0.6649999999999999
0115-TFERT,True,Hombre,0,True,False,21,True,True,Fiber optic,False,True,True,True,True,True,Mes a mes,True,Cheque E.,111.2,2317.1,3.7066666666666666
0117-LFRMW,True,Hombre,0,True,True,37,False,False,DSL,True,True,True,False,False,False,Mes a mes,False,Transferencia,40.2,1448.8,1.34
0118-JPNOY,False,Mujer,1,False,False,26,True,False,Fiber optic,True,False,False,False,True,False,Mes a mes,True,Tarjeta C.,85.8,2193.65,2.86
0121-SNYRK,False,Hombre,0,False,False,50,False,False,DSL,True,False,False,True,False,False,Un año,True,Cheque C.,35.4,1748.9,1.18
0122-OAHPZ,True,Mujer,0,False,False,7,True,True,Fiber optic,False,False,False,False,False,False,Mes a mes,True,Cheque E.,73.85,511.25,2.4616666666666664
0123-CRBRT,False,Mujer,0,True,True,61,True,True,DSL,True,True,True,True,True,True,Dos años,False,Cheque C.,88.1,5526.75,2.9366666666666665
0125-LZQXK,True,Hombre,0,False,False,15,True,False,Fiber optic,False,False,True,True,True,True,Mes a mes,True,Cheque E.,101.35,1553.95,3.378333333333333
0128-MKWSG,False,Mujer,0,False,True,26,False,False,DSL,True,False,False,True,False,True,Mes a mes,False,Cheque C.,45.8,1147.0,1.5266666666666666
0129-KPTWJ,False,Hombre,0,True,False,72,True,False,Fiber optic,False,False,True,False,True,True,Mes a mes,True,Cheque E.,94.65,6747.35,3.1550000000000002
0129-QMPDR,False,Hombre,0,True,True,44,True,False,No,False,False,False,False,False,False,Un año,True,Transferencia,20.5,865.05,0.6833333333333333
0130-SXOUN,False,Hombre,0,False,False,66,True,True,Fiber optic,False,True,False,False,False,True,Mes a mes,False,Tarjeta C.,89.4,5976.9,2.98
0133-BMFZO,True,Mujer,0,False,False,2,True,False,Fiber optic,True,True,False,True,False,False,Mes a mes,True,Cheque E.,86.25,181.65,2.875
0134-XWXCE,False,Mujer,1,False,False,44,True,False,DSL,False,False,True,True,True,True,Un año,False,Transferencia,74.85,3268.05,2.4949999999999997
0135-NMXAP,True,Mujer,0,False,False,12,True,True,Fiber optic,False,True,False,False,True,False,Mes a mes,True,Transferencia,89.75,1052.4,2.9916666666666667
0136-IFMYD,False,Hombre,1,True,False,69,True,True,Fiber optic,False,True,True,True,True,True,Dos años,True,Cheque E.,109.95,7634.25,3.665
0137-OCGAB,True,Mujer,0,False,False,1,True,True,Fiber optic,False,True,False,False,False,False,Mes a mes,True,Cheque C.,80.2,80.2,2.6733333333333333
0137-UDEUO,True,Mujer,0,False,False,3,True,False,No,False,False,False,False,False,False,Mes a mes,False,Cheque C.,19.85,63.75,0.6616666666666667
0139-IVFJG,False,Mujer,0,True,False,2,True,False,Fiber optic,True,True,False,False,True,False,Mes a mes,False,Cheque E.,90.35,190.5,3.0116666666666663
0141-YEAYS,False,Mujer,1,False,False,27,True,True,Fiber optic,False,True,True,False,False,False,Mes a mes,True,Transferencia,86.45,2401.05,2.881666666666667
0142-GVYSN,False,Hombre,0,False,False,26,True,False,No,False,False,False,False,False,False,Mes a mes,True,Cheque E.,20.3,511.25,0.6766666666666666
0147-ESWWR,False,Mujer,1,True,False,39,True,True,Fiber optic,False,False,False,True,True,True,Mes a mes,True,Cheque E.,101.25,3949.15,3.375
0148-DCDOS,True,Hombre,0,False,False,25,True,True,Fiber optic,False,False,False,False,True,True,Mes a mes,True,Transferencia,94.7,2362.1,3.1566666666666667
0151-ONTOV,True,Mujer,0,False,False,1,True,False,Fiber optic,False,False,False,False,False,False,Mes a mes,False,Cheque C.,70.9,70.9,2.3633333333333337
0156-FVPTA,True,Hombre,0,True,False,22,True,False,DSL,True,False,False,True,False,False,Mes a mes,True,Cheque E.,54.2,1152.7,1.8066666666666669
0164-APGRB,False,Mujer,0,False,False,72,True,True,Fiber optic,True,True,True,True,True,True,Dos años,True,Cheque E.,114.9,8496.7,3.83
0164-XAIRP,False,Mujer,0,False,False,24,True,False,No,False,False,False,False,False,False,Dos años,True,Transferencia,19.55,470.2,0.6516666666666667
0168-XZKBB,False,Mujer,0,True,False,19,True,True,Fiber optic,False,False,False,False,True,False,Mes a mes,True,Cheque E.,86.85,1564.4,2.895
0174-QRVVY,False,Hombre,0,True,True,71,True,True,No,False,False,False,False,False,False,Dos años,False,Tarjeta C.,25.35,1847.55,0.8450000000000001
0177-PXBAT,False,Hombre,1,True,False,33,True,True,Fiber optic,True,False,True,True,True,True,Mes a mes,True,Transferencia,109.9,3694.7,3.6633333333333336
0178-CIIKR,False,Mujer,0,False,False,3,True,False,No,False,False,False,False,False,False,Mes a mes,False,Cheque C.,19.95,58.0,0.6649999999999999
0178-SZBHO,False,Hombre,0,True,True,47,True,True,Fiber optic,False,True,False,False,True,False,Mes a mes,False,Cheque E.,87.2,4017.45,2.9066666666666667
0181-RITDD,False,Hombre,0,True,True,62,True,False,Fiber optic,True,True,True,True,True,True,Dos años,False,Cheque C.,108.15,6825.65,3.605
0186-CAERR,False,Hombre,0,False,False,71,True,True,Fiber optic,True,True,True,True,True,True,Un año,True,Transferencia,116.3,8309.55,3.8766666666666665
0187-QSXOE,False,Hombre,1,True,False,7,True,False,Fiber optic,False,False,False,False,True,True,Mes a mes,True,Cheque E.,89.0,605.45,2.966666666666667
0187-WZNAB,False,Mujer,0,True,True,27,True,False,Fiber optic,True,False,False,False,False,False,Mes a mes,False,Cheque C.,74.4,1972.35,2.48
0188-GWFLE,False,Hombre,0,False,False,2,True,False,No,False,False,False,False,False,False,Mes a mes,False,Cheque C.,20.05,33.7,0.6683333333333333
0191-EQUUH,False,Mujer,0,False,True,25,False,False,DSL,True,False,False,True,False,False,Dos años,False,Transferencia,35.05,844.45,1.1683333333333332
0191-ZHSKZ,False,Hombre,1,False,False,30,True,False,DSL,True,True,False,False,True,True,Mes a mes,True,Cheque E.,74.75,2111.3,2.4916666666666667
0193-ESZXP,True,Mujer,1,True,False,58,True,False,Fiber optic,True,True,False,True,True,True,Un año,True,Tarjeta C.,105.5,6205.5,3.5166666666666666
0195-IESCP,True,Hombre,0,True,False,10,True,True,Fiber optic,False,False,False,False,False,True,Mes a mes,True,Cheque E.,85.25,855.3,2.841666666666667
0196-JTUQI,False,Mujer,0,False,False,9,True,True,Fiber optic,False,False,False,False,False,False,Mes a mes,True,Tarjeta C.,75.2,633.85,2.506666666666667
0196-VULGZ,True,Mujer,1,True,False,6,True,True,Fiber optic,False,False,False,False,False,True,Mes a mes,True,Cheque E.,84.35,474.9,2.8116666666666665
0197-PNKNK,False,Mujer,0,True,True,69,True,True,Fiber optic,True,False,True,False,False,False,Un año,False,Transferencia,84.45,5848.6,2.815
0201-MIBOL,False,Mujer,1,False,False,66,True,True,Fiber optic,True,False,False,False,True,True,Dos años,True,Transferencia,102.4,6471.85,3.4133333333333336
0201-OAMXR,True,Mujer,0,False,False,70,True,True,Fiber optic,True,True,True,True,True,True,Un año,False,Tarjeta C.,115.55,8127.6,3.8516666666666666
0203-HHYIJ,True,Hombre,0,False,False,25,True,True,No,False,False,False,False,False,False,Un año,False,Transferencia,25.3,676.35,0.8433333333333334
0206-OYVOC,False,Mujer,0,True,True,46,True,False,No,False,False,False,False,False,False,Dos años,True,Cheque C.,19.25,864.2,0.6416666666666667
0206-TBWLC,False,Mujer,0,True,False,54,True,True,Fiber optic,True,True,True,True,True,True,Un año,True,Cheque C.,114.65,6049.5,3.8216666666666668
0207-MDKNV,True,Mujer,0,False,False,15,True,False,Fiber optic,True,False,True,True,True,True,Mes a mes,False,Cheque E.,105.1,1582.75,3.503333333333333
0208-BPQEJ,False,Mujer,0,True,True,12,True,False,No,False,False,False,False,False,False,Mes a mes,False,Transferencia,19.4,198.1,0.6466666666666666
0212-ISBBF,False,Mujer,0,False,False,22,False,False,DSL,False,True,False,False,True,True,Mes a mes,True,Cheque E.,50.35,1098.85,1.6783333333333335
0214-JHPFW,False,Mujer,0,True,False,70,False,False,DSL,False,True,True,True,True,True,Dos años,False,Transferencia,57.8,4039.3,1.9266666666666665
0215-BQKGS,False,Hombre,0,False,False,30,True,False,Fiber optic,True,True,True,False,False,False,Mes a mes,True,Tarjeta C.,84.3,2438.6,2.81
0218-QNVAS,False,Hombre,0,True,True,71,True,True,Fiber optic,False,True,False,False,True,True,Un año,False,Transferencia,100.55,7113.75,3.3516666666666666
0219-QAERP,False,Hombre,0,True,False,30,True,False,No,False,False,False,False,False,False,Un año,False,Tarjeta C.,19.8,576.65,0.66
0219-YTZUE,True,Hombre,0,True,True,4,True,True,Fiber optic,False,True,True,False,False,False,Mes a mes,True,Transferencia,84.8,371.9,2.8266666666666667
0220-EBGCE,True,Hombre,0,False,False,2,True,False,Fiber optic,False,False,True,False,False,True,Mes a mes,True,Cheque E.,85.85,167.3,2.8616666666666664
0221-NAUXK,False,Hombre,0,False,True,10,True,False,No,False,False,False,False,False,False,Un año,True,Transferencia,19.95,219.5,0.6649999999999999
0221-WMXNQ,False,Hombre,1,False,False,4,True,False,Fiber optic,True,False,False,False,False,False,Mes a mes,False,Cheque E.,75.35,273.4,2.5116666666666663
0222-CNVPT,False,Hombre,1,False,False,52,False,False,DSL,True,False,False,False,True,True,Mes a mes,True,Tarjeta C.,48.8,2555.05,1.6266666666666665
0224-HJAPT,True,Hombre,0,False,False,5,True,True,DSL,False,False,False,False,False,False,Mes a mes,False,Cheque E.,47.15,223.15,1.5716666666666665
0224-NIJLP,False,Hombre,0,True,True,8,True,False,No,False,False,False,False,False,False,Dos años,False,Cheque C.,20.15,165.5,0.6716666666666666
0224-RLWWD,False,Mujer,1,False,False,2,True,False,DSL,False,False,False,False,False,False,Mes a mes,True,Cheque E.,44.3,89.3,1.4766666666666666
0225-ZORZP,False,Hombre,0,False,False,3,True,False,Fiber optic,False,True,False,False,False,True,Mes a mes,False,Cheque E.,84.3,235.05,2.81
0228-MAUWC,False,Hombre,0,False,False,19,True,True,DSL,False,False,True,True,False,False,Mes a mes,False,Cheque E.,59.55,1144.6,1.9849999999999999
0229-LFJAF,False,Hombre,0,False,False,72,True,True,DSL,True,True,True,True,False,False,Dos años,False,Transferencia,69.65,4908.25,2.3216666666666668
0230-UBYPQ,False,Hombre,1,True,False,63,False,False,DSL,True,False,False,True,False,False,Un año,False,Transferencia,36.1,2298.9,1.2033333333333334
0230-WEQUW,False,Hombre,0,True,False,66,False,False,DSL,True,True,True,True,True,False,Dos años,True,Transferencia,56.6,3789.2,1.8866666666666667
0231-LXVAP,True,Hombre,0,False,False,1,True,False,Fiber optic,False,False,False,True,False,False,Mes a mes,True,Cheque E.,75.9,75.9,2.5300000000000002
0233-FTHAV,False,Mujer,0,False,False,60,True,True,Fiber optic,False,False,True,False,False,False,Un año,True,Transferencia,79.2,4765.0,2.64
0234-TEVTT,False,Mujer,0,True,True,48,False,False,DSL,True,False,True,False,False,True,Un año,False,Tarjeta C.,45.0,2196.3,1.5
0235-KGSLC,True,Mujer,0,False,False,1,True,False,Fiber optic,False,False,True,False,True,False,Mes a mes,True,Tarjeta C.,85.55,85.55,2.8516666666666666
0236-HFWSV,True,Hombre,0,False,False,15,True,True,Fiber optic,False,False,False,False,True,True,Mes a mes,True,Cheque E.,93.35,1444.65,3.1116666666666664
0237-YFUTL,False,Mujer,0,True,False,50,True,True,Fiber optic,True,True,False,True,True,True,Mes a mes,True,Transferencia,109.65,5405.8,3.6550000000000002
0238-WHBIQ,False,Hombre,0,True,True,72,True,True,DSL,True,True,True,True,True,True,Dos años,False,Tarjeta C.,89.7,6339.3,2.99
0239-OXEXL,False,Mujer,0,False,False,46,True,True,Fiber optic,True,True,False,False,False,False,Mes a mes,False,Cheque C.,84.25,3847.6,2.808333333333333
0244-LGNFY,False,Mujer,0,True,True,72,True,True,DSL,True,True,True,True,True,True,Dos años,False,Transferencia,92.65,6733.0,3.0883333333333334
0247-SLUJI,False,Hombre,0,True,True,1,True,False,No,False,False,False,False,False,False,Mes a mes,False,Cheque C.,19.7,19.7,0.6566666666666666
0248-IPDFW,False,Mujer,0,False,False,1,True,True,DSL,False,False,False,False,False,False,Mes a mes,True,Cheque E.,50.1,50.1,1.6700000000000002
0248-PGHBZ,False,Mujer,1,False,False,67,True,False,Fiber optic,True,True,False,True,True,False,Dos años,True,Transferencia,92.45,6140.85,3.0816666666666666
0253-ZTEOB,False,Mujer,0,True,True,48,True,True,DSL,False,True,False,True,True,True,Dos años,False,Cheque E.,79.65,3870.3,2.6550000000000002
0254-FNMCI,False,Mujer,0,False,False,72,True,False,Fiber optic,True,True,True,True,True,True,Dos años,True,Cheque E.,109.9,7624.2,3.6633333333333336
0254-KCJGT,False,Hombre,0,True,False,52,True,True,DSL,True,True,True,True,False,True,Un año,True,Tarjeta C.,81.4,4354.45,2.7133333333333334
0254-WWRKD,False,Mujer,0,True,True,67,True,False,DSL,False,True,False,False,False,False,Un año,False,Tarjeta C.,50.55,3431.75,1.6849999999999998
0256-LTHVJ,True,Mujer,0,True,True,28,True,False,Fiber optic,False,False,False,False,False,True,Mes a mes,True,Cheque E.,81.05,2227.1,2.7016666666666667
0257-KXZGU,False,Mujer,0,True,True,32,True,True,DSL,False,True,True,False,False,False,Mes a mes,False,Transferencia,62.45,2045.55,2.0816666666666666
0257-ZESQC,True,Mujer,1,True,False,27,True,False,Fiber optic,True,False,False,False,False,False,Mes a mes,True,Transferencia,75.2,1929.35,2.506666666666667
0258-NOKBL,False,Hombre,0,False,False,3,True,False,Fiber optic,False,True,True,False,False,True,Mes a mes,False,Cheque E.,90.4,268.45,3.0133333333333336
0259-GBZSH,True,Hombre,0,False,False,2,True,True,Fiber optic,False,False,False,False,True,False,Mes a mes,True,Cheque E.,85.65,181.5,2.855
0260-ZDLGK,True,Mujer,0,False,True,9,True,False,DSL,False,False,True,True,True,True,Mes a mes,True,Cheque C.,72.9,651.4,2.43
0263-FJTQO,False,Hombre,0,True,True,50,True,True,DSL,True,False,False,True,True,False,Dos años,True,Tarjeta C.,70.5,3486.65,2.35
0264-CNITK,False,Mujer,0,True,True,71,True,False,No,False,False,False,False,False,False,Dos años,False,Transferencia,20.1,1389.6,0.67
0265-EDXBD,True,Hombre,1,True,False,32,True,True,Fiber optic,False,False,False,False,False,False,Mes a mes,True,Cheque E.,74.9,2303.35,2.496666666666667
0265-PSUAE,False,Mujer,0,True,True,16,True,False,Fiber optic,True,False,True,False,True,True,Mes a mes,False,Transferencia,100.7,1522.7,3.356666666666667
0266-CLZKZ,False,Mujer,0,True,True,67,True,True,Fiber optic,False,False,True,True,True,True,Dos años,True,Transferencia,105.65,6717.9,3.521666666666667
0266-GMEAO,False,Hombre,0,True,True,72,True,True,Fiber optic,True,True,True,True,True,True,Dos años,True,Tarjeta C.,114.3,8058.55,3.81
0268-QKIWO,True,Mujer,0,False,False,3,True,False,No,False,False,False,False,False,False,Mes a mes,False,Cheque E.,19.75,58.85,0.6583333333333333
0269-XFESX,False,Hombre,0,True,True,23,True,True,No,False,False,False,False,False,False,Un año,False,Cheque C.,24.35,538.5,0.8116666666666668
0270-THENM,False,Hombre,0,True,True,72,True,True,DSL,True,True,True,True,False,False,Dos años,False,Transferencia,69.85,5102.35,2.328333333333333
0274-JKUJR,False,Hombre,0,True,True,7,False,False,DSL,True,True,True,False,True,True,Mes a mes,False,Cheque C.,58.85,465.7,1.9616666666666667
0277-BKSQP,False,Hombre,0,True,True,8,True,False,DSL,False,False,False,False,True,False,Mes a mes,True,Cheque E.,54.4,475.1,1.8133333333333332
0277-ORXQS,False,Hombre,0,True,True,66,False,False,DSL,False,False,False,True,True,True,Dos años,False,Transferencia,50.55,3364.55,1.6849999999999998
0278-YXOOG,True,Hombre,0,False,False,5,True,False,No,False,False,False,False,False,False,Mes a mes,False,Cheque C.,21.05,113.85,0.7016666666666667
0280-XJGEX,True,Hombre,0,False,False,49,True,True,Fiber optic,False,True,True,False,True,True,Mes a mes,True,Transferencia,103.7,5036.3,3.4566666666666666
0281-CNTZX,False,Hombre,0,True,False,63,True,False,No,False,False,False,False,False,False,Dos años,True,Transferencia,19.95,1234.8,0.6649999999999999
0282-NVSJS,False,Mujer,1,True,True,12,False,False,DSL,False,False,False,True,False,False,Mes a mes,True,Cheque C.,29.3,355.9,0.9766666666666667
0285-INHLN,False,Hombre,0,True,True,27,True,False,DSL,True,True,False,False,False,False,Mes a mes,True,Tarjeta C.,54.75,1510.3,1.825
